Review,Review_Score,Prediction_best_naive_bayes_model,Prediction_best_naive_bayes_model2,Final_Prediction,Difference
"Logement en plein centre-ville. Tout équipé et spacieux. Samuel répond vraiment très très vite, séjour très apprécié! Merci","8,0",0,0,7.0,1.0
"Mes parents ont séjourné durant une semaine dans le logement de Denis et sa famille, ils y ont énormément apprécié leur séjour et ont particulièrement été touchés par la gentillesse de la famille. 
Même si Denis et sa famille traversaient un moment délicat, ces derniers se sont toujours montrés accessibles, chaleureux et attentifs aux besoins de mes parents. Denis et sa famille se sont également montrés très flexibles en terme d’accommodements avec mes parents. Le logement est très spacieux, propre, et à très bien situé (à proximité des transports et de plusieurs commodités sur Côte-des-Neiges). Je conseillerai sans hésiter ce logement à n'importe qui.","10,0",2,0,10.0,0.0
Willam is a by far the best host I have  encountered. He is a very nice man and is willing to do anything to make your stay the best stay. His apartment was very clean basically brand new. Amazing place and location. Would definitely stay here again next time!,"10,0",4,1,10.0,0.0
It was my second time there and I’m close to call the host uncle Zhen he is simply amazing I recommend 100%!,"10,0",4,1,10.0,0.0
Best location in old Montreal. Clean and well kept.  Couldn't ask for more.,"10,0",3,1,10.0,0.0
Host very helpful. Can be contacted if this property is booked as he has others. Nice clean apartment,"9,0",1,1,10.0,-1.0
"I do not recommend this place. I arrived on a hot day, there was no air condotion, bed much to small for a couple, room is dark and not appealing at all
The room description is definitely deciving
Not worth even to stay even for free!

Check out other places
Best of luck - H.
","9,0",0,1,7.0,2.0
"Zaki's place is quite nice. It is in a fantastic location! Very close to the Metro, restaurants, bars and shops but on a quiet street. Best of both worlds. Zaki was quite good at helping out with a couple problems that arose like letting me keep my bags there a few hours past check out.","9,0",3,0,10.0,-1.0
Great place and wonderful host .  We would love to stay at your lovely place again.  Thank you for being a great host .,"10,0",4,1,10.0,0.0
"Una excelente persona, accesible, atenta, amable ... fue mucho mejor de lo que esperaba !","10,0",0,0,7.0,3.0
"The location was perfect and the condo was comfortable, great location, well worth it, and clean.  Eric was great at communicating quickly with us and I would recommend Eric's Airbnb condo to anyone.  I hope to return and stay if you would have me.","10,0",4,1,10.0,0.0
"Carlos was a great host, and the apartment was fantastic. Clean, comfortable, spacious, and perfect location right on the river. We had an amazing time and I'd highly recommend this spot to anyone taking a trip to the area!","10,0",4,1,10.0,0.0
"We really loved the location of the apartment and how spacious it was. 
Mohammed was super helpful and quick to respond. Very easy check in / check out process. 
Would recommend fo a group hoping to be downtown / or in the city for something at either McGill or Concordia, very short walking to either. 
","10,0",4,1,10.0,0.0
Sophia was a great host. Met us on time when we arrived and showed us the apartment and the facilities. She was reachable 24x7. The location was great for me as it was in the heart of downtown surrounded by shops and restaurants. Inside the apartment it was clean and quiet. Would definitely stay there again.,"9,0",4,1,10.0,-1.0
"This place is awesome, I was in Montreal for a company Christmas party with my colleagues and we had this place. Amazing hospitality and the owner made sure we had fun and his recommendations for Montreal were perfect","10,0",4,1,10.0,0.0
"Apartment was in one of the best parts of Montreal. Short walk to the subway station, restaurants, bars and nightlife. 
Only issue was finding parking in the area, but this is for any apartment downtown. I would highly recommend.","9,0",4,0,10.0,-1.0
"this space is a perfect Airbnb to visit some of the coolest parts of Montreal.

great value, super clean, super easy to check in.

easy recommend.","10,0",4,1,10.0,0.0
"This penthouse apartment is well represented by the post and pictures. Our host, Steve was very responsive. Location is central to the old Montreal area with a lot of food and activities within walking distance. Having parking included is a definite plus!","10,0",3,0,10.0,0.0
Great loft at a perfect location. Very close to all tourist spots.,"10,0",4,1,10.0,0.0
"Appartement fonctionnel, bien situé, très bien entretenu et calme. Je le recommande fortement.","10,0",0,0,7.0,3.0
Very nice and clean! Very thorough instructions on how to check in. Parking included!!! ( my favorite part),"9,0",3,0,10.0,-1.0
Marie and Stéphane are great hosts . They made us feel like we were in our own home . The location of the place is great . It is close to parks like la Fontaine and sir Wilfred where my 2 year old son loved to play. The Laurier metro station is 15 minutes walking distance . Many Bus stops are 2-5 minutes walking distance . We loved our stay here . The place is one of the best place to visit Montreal . Thanks for every thing,"9,0",4,1,10.0,-1.0
"Chambre style étudiant, un peu vieillot.","10,0",0,0,7.0,3.0
"Very clean home and just as described. A bit difficult to find at first.
I would give it a 10 star if they were available!","10,0",4,0,10.0,0.0
The space was very clean . Sakina provided us with breakfast and was prompt in replying back,"10,0",4,1,10.0,0.0
"Quiet place with a clear view over Montreal and a private balcony. The decoration is mainly from the 80s but definitely has its charm.
James is a dedicated and reactive host, you can count on him !","9,0",4,1,10.0,-1.0
Great! Awesome!! Fantastic!!! Very Nice And colourful House in the Place to be.,"9,0",4,1,10.0,-1.0
"The space was clean and comfortable, exactly what we hoped for! Thanks for a great night ","10,0",2,1,10.0,0.0
Very true to pictures... Incredibly convenient location... Pretty good price for being rented during the world cup.,"10,0",3,1,10.0,0.0
"Great communication from Mina ahead of our arrival, making sure we had everything we needed. Everything was all set for us when we arrived. Apartment is very warm and welcoming; nicely laid out and very home-y feeling. Bedrooms and living room are very comfortable and the kitchen is well equipped.

The neighborhood is quiet and friendly. No real noise at night (we slept with the windows open). Great cafes, restaurants, parks, and groceries within a 5 minute walking distance. Subway is an easy 10-15 minute walk with easy access into downtown. 

All in all this is a great apartment in a great location and the hosts are very welcoming. Highly recommended!","10,0",4,1,10.0,0.0
"The perfect place when you stay in Montreal, very nice appartement in a great area of Montreal. 
We have stayed in Caroles place twice and will come again,","10,0",4,1,10.0,0.0
"Super week end passé avec Dom et Phil, deux colloc très accueillants, chaleureux, et prêts à vous donner les bons plans dans Montréal. Merci à vous deux !! ","10,0",3,0,10.0,0.0
"We love Mile End, so this was a perfect location for us. The apartment was bright, charming, and completely comfortable. Nice bed, cute kitchen with everything you need. Toby and her sister Libby were very responsive and  communicative. Great place to stay.","10,0",4,1,10.0,0.0
Très agréable séjour ! La localisation est parfaite pour un petit week end à Montréal ! Rapport qualité prix parfait ! Isabela très à l’écoute et aucun problème de communication !,"10,0",3,0,10.0,0.0
"We love to arrive to a host is there and friendly. He was! We love places that are spotless and well equipped. It was! We love rain shower heads and nice sheets. It had it! We love coffee makers and supplies coffee. There was! We love in-apartment washer & dryer. You guessed it! We love spacious and modern places. It is that! And perhaps in a city like Montréal with limited parking, we LLLLL (Phone number hidden by Airbnb) EEEE free secure parking on premises. Again, had it!

Did I mention that there is a Bixi bike station seconds from the front door? Well there is. You can download the app and sign up for an account in minutes on your smartphone. We got two 3 day passes for $14 CAD! ","10,0",4,0,10.0,0.0
Very nice and well located flat. Convenient to Montreal downtown attractions. Isabelle and Jonathan have been very kind and helpful with a lot of hints about our visit,"10,0",4,1,10.0,0.0
Quartier agréable. Appartement impeccable.,"10,0",0,1,7.0,3.0
"Not only was this place gorgeous inside, it was clean, filled with anything and everything i would need during my stay, and it was in a great location in town. walk out the door to the right then left at Mont Royale (yes?) and there’s a market, restaurants, shopping, you name it. i definitely am going to stay here again when i come back!!","10,0",4,1,10.0,0.0
"Great location in old Montreal. Spacious place for  a few people. 

Only issue I experienced was lack of the water tap working in the bathroom. Notified the hosts, and they were aware of the problem but I was not notified in advance or no apology/was provided for the issue which I found surprising. Other than that the place was as advertised and hosts were responsive.","10,0",4,1,10.0,0.0
"Not awful, but you can find MUCH nicer places in Montréal for the same price. I found the place to be super noisy and it smelled like mothballs. Also, someone threw a brick through one of the windows in the middle of the night, so I woke up at 3 am to the sound of breaking glass and people yelling... I'm assuming this doesn't happen every night, but it might not be the safest neighborhood.","9,0",0,0,7.0,2.0
This place is beautiful! Conveniently loved to the old port of Montreal and highways. Brigitte was an outstanding host and I would highly recommend staying here.,"10,0",4,1,10.0,0.0
"Excellent airbnb! Great apartment, wonderful communication","10,0",3,1,10.0,0.0
The place is as good as it looks! I thought it might be a little too good to be true based on previous airbnb experiences but the pictures properly represent it.  It's a wonderful space.  Explore MTL are fast and helpful.  We had a great time walking Montreal!  We will definitely have this place at the top of our list when we come back.,"9,0",4,1,10.0,-1.0
"Jen was a friendly and helpful host, our accommodation was unique and in a great location. We had a wonderful family day weekend in Montreal.","9,0",4,1,10.0,-1.0
"A very large, clean apartment, located right in the middle of the Plateau.  Antoine was prompt and helpful. ","9,0",3,1,10.0,-1.0
"Great location, great host, I definitely recommend it to you guys ","9,0",4,1,10.0,-1.0
"Marie was very accommodating of our arrival and departure.
We felt more than welcome when she pre-approved our stay which excited us even more.
The place was spotless when we arrived and it was as cozy as a house of our own (as the title suggests). 
There was heating which kept us warm in Montreal's bitter winter.
Might I add that Marie prepares you for arrival with maps and some great restaurant recommendations that were all very useful to us. 

We would definitely visit this place again because the location was close to downtown and Marie made us feel very comfortable. I would recommend this house to anyone visiting Montreal with friends or family.","10,0",4,1,10.0,0.0
Jose’s place was exactly as advertised. She was very friendly and welcoming and the room was perfect. I will definitely stay again if I find myself in the area.,"10,0",4,1,10.0,0.0
"Martine was amazing. The apartment was was so stunning that we spent more time here than out in the city. She was generous with time checking out, responded to texts immediately, and made us feel extremely welcome. I would stay here again in a heartbeat. ","9,0",4,1,10.0,-1.0
The condo was very nice and clean. Amazing view! Ikram was answering my txt and calls very fast... communication very clear. Will come back!,"9,0",4,1,10.0,-1.0
"Cet appartement est impeccable et décoré avec soin et attention. La localisation est charmante dans une rue inusitée et permet un accès très rapide au centre-ville comme tel.

Comme Richard me l'avait indiqué, en fin de soirée, en réintégrant l'appartement j'ai pu facilement trouver une place de stationnement dans les rues environnantes.

Un séjour plus long m'aurait permis de bénéficier pleinement des commodités et attraits de cet appartement. Lorsque je retournerai à Montréal, je rechercherai l'appartement de Richard dont le rapport qualité/prix est excellent. À noter que  le statut de Superhost de Richard a joué dans ma décision de choisir son appartement.

Jean-Marc","10,0",2,1,10.0,0.0
"Notre séjour chez Carlito s'est bien passé dans l'ensemble. L'appartement est bon marché et très bien placé. Le quartier est calme. Petit bémol pour la cuisine, très peu équipée, il était donc très compliqué de se faire à manger. 
Bon séjour dans l'ensemble :)","8,0",2,0,10.0,-2.0
"L'emplacement est génial et la chambre avec cuisinette est très pratique! Le prix est un peu cher pour ce quartier, mais l'accueil est très chaleureux.","9,0",2,0,10.0,-1.0
"A great spot to stay in a fun and vibrant neighbourhood! It was really snowy when we were there so we parked our car (found street parking easily) and did all of our exploring on foot. 

The apartment is very cozy and comfortable. Marie was a gracious host. She responded quickly to inquiries and made sure that we had everything we needed.

The best thing about this apartment? The espresso machine. We're going to have to buy one of our own now.","9,0",3,1,10.0,-1.0
"Bien agencé et confortable, dans une rue calme, à quelques minutes d'un parc et d'une station de métro, avec des magasins et des restos proches, ce logement est une bonne base pour une visite de Montréal. A noter la disponibilité de Tristan.","10,0",3,0,10.0,0.0
"The apartment is so comfortable and clean with a good location, the bus stop is near there. We've had a good time in Montreal.","9,0",3,1,10.0,-1.0
Loved the piano in one of the rooms! Overall a great stay and fast response to my messages.,"9,0",3,1,10.0,-1.0
"Bon emplacement pour qui aime ce quartier comme nous...
Belle maison vue de la rue.
Beaux murs en briques côté intérieur...
Pour le reste, très moyen. Mériterait d’être « raffrechi » et un bon coup de balai.","9,0",2,0,10.0,-1.0
"We only stayed for one night, so we couldn't meet the hosts or experience the ""vibe"" of the place. 

The room is as depicted in the photos. Clean and spacious. However, it is worth keeping in mind that the other areas of the house, namely, bathroom and kitchen are shared with many other people. Thus, it is hard to keep them clean. 

They have a cat, which we were not aware of, but he is really nice and friendly. 

The location was very good, it provides free-parking right in front of the place, which made it easier for us.","9,0",4,1,10.0,-1.0
"We had a great stay in the Sonder flat. It was perfectly located for us in the center of nightlife, great food and bars. As a large group of 6 the flat was a nice size and we slept very well at night. The only drawbacks for us was the lack of kitchen staples (most rental homes include ample sugar, salt, olive oil bottles, etc) and some issues with electricity (the only way to turn on bedroom lights was via turning on the living room light as well and there was lacking useable sockets in the bedrooms). Otherwise, we had a great time and would definitely return with larger groups again.","8,0",3,1,10.0,-2.0
"J'ai passé une très bonne semaine chez Ioni. L'appartement était chaleureux (même avec les -20°C extérieur), parfait pour une première semaine pour s'installer à Montréal, proche du métro, etc. Je recommande !","10,0",0,0,7.0,3.0
"Laurence's listing and photos were very accurate, portraying the apartment well. The neighborhood is residential and quiet, though there are a handful of nice restaurants and cafes nearby. The subway/metro is very close by to the apartment (perhaps a three minute walk) and allows for convenient travel to pretty much every aspect of Montreal.

Though I was not able to meet Laurence personally due to an emergency, she did make me feel welcomed by leaving fruit and bread in the apartment as a little snack for the next morning. In addition, there was a cute welcome note scrawled on a small chalkboard near the front door and a list of her favorite nearby hangout spots.

All in all, it was a great experience and I would stay here again the next time that I travel to Montreal!","10,0",3,1,10.0,0.0
The host canceled this reservation 8 days before arrival. This is an automated posting.,"9,0",0,0,7.0,2.0
Trés bel appartement au cœur du Mile end. Tout est trés propre et bien entretenu. Je recommande !,"10,0",3,0,10.0,0.0
Thank you Monaam! It was a very comfortable stay!,"8,0",3,1,10.0,-2.0
"Nikki''s place was fantastic. Super close to coffee shops and restaurants, shops at a walking distance. You can walk or ride a bike if you prefer to go to old Montreal from Nikki''s place. The studio was super neat, clean and with everything you need . I would recommended to anyone. ","10,0",3,1,10.0,0.0
"Appartement super, extrêmement calme à la joie de mes parents qui ont aimé leur séjour. 
Ressemblance parfaite avec les photos. 
Situé à deux pas du métro et de l'avenue Montroyal, parfait pour les tous les achats ! 
Très propre. A recommander !","9,0",2,0,10.0,-1.0
Spacious and comfortable apartment well located. We had a good time :),"10,0",4,1,10.0,0.0
the New York style apartment I stayed in was very clean & in a prime location,"9,0",4,1,10.0,-1.0
"We absolutely loved staying at Tarek's charming place which is just how he described it -- a cozy ground floor studio condo that is perfectly situated. We were just steps from the scenic McGill University, a short walk to the vibrants bars & restaurants on St-Laurent Street, and were conveniently able to walk to many other places during our stay. The exterior of the building is beautiful and historical looking while the interior is updated, comfortable, and super clean... all while being very peaceful and serene when we needed a break from sightseeing. 

Tarek was a superb host -- he was very kind and communicative with us from the get-go and was flexible to some logistical issues we had. He even gave us ""must-see"" and ""must-eat"" tips and overall made us feel very welcome on our first visit to Montreal. We would definitely stay here again in the future. Highly recommend!","10,0",4,1,10.0,0.0
"Excellent location, close to metro, restaurants and markets. the host is a very nice person. You will love this place!! very comfortable, clean and elegant.","10,0",3,1,10.0,0.0
Great space,"9,0",2,1,10.0,-1.0
"Loved staying there, and would definitely stay again! Everything was seamless and being right in downtown made it all the more convenient! Daniel was a great host and very communicative!","9,0",4,1,10.0,-1.0
"Mario’s loft is breathtaking, I felt like a celebrity. It is gigantic with great furniture, lighting, an aesthetics. I’ve never stayed anywhere nicer. The place was twice as big as I expected, and we spent about an hour after we got in talking about how lucky we were to have booked this place. The windows and ceiling are gigantic. The place is fairly centrally located close to all of the hip restaurants and bars in the Mile End area which is one of the coolest areas of Montreal. Mario was super accommodating and helpful. I arrived late in night and he was able to make arrangements for the keys.","9,0",4,1,10.0,-1.0
"This is my worst Airbnb experience ever!

Tyler sent his friend to open the door for us, the apartment is dilapidated and old. When we stepped into the room, it smells like curry or some weird things. We thought it will disappear if we open the back door(no windows), but it became worse(there might be some restaurants close to the backyard). We report this to Tyler, he didn't reply, so we told his friend and then he was arguing with us and he said that I am complaining for no reason. He even suggested me to buy a refresher in Dollar store! 

We were very upset, not only the bad smell, but also the dirty old quilt. We tried to take a nap, but people live on the second floor were laughing so loud and traffic outside was noisy. So we decided to move to a hotel. I asked Tyler about this, he didn't reply, but he sent another friend to reply us that he will give us full refund, and we can leave the key in the room then move to a hotel. But after we arrived at the hotel, Tyler finally replied us and said he won't refund us! I tried to communicate with him but he just disappeared again!

We already reported this to Airbnb, one warning to the future guest: never trust the pictures!!","9,0",0,1,7.0,2.0
"Mohammed was very responsive: buzzed us into the place immediately, shared a second set of keys upon request and quickly. The only reason the review was four and not five stars is that the place was a bit worn (loose fixtures, limited kitchenware). Overall, we were very pleased with the stay, location, value, and certainly the host's responsiveness.","10,0",1,1,10.0,0.0
very good room and location,"9,0",2,0,10.0,-1.0
Sakina est très accueillante très disponible aussi pour mon deuxième séjour impeccable merci pour tout,"10,0",0,1,7.0,3.0
A visiter,"9,0",0,0,7.0,2.0
Great location in the heart of old Montreal.,"10,0",2,1,10.0,0.0
"The apartment is absolutely beautiful. Everything you could hope for in an AirBNB stay at more. The location is ideal, and Karine and her family are extremely accommodating and generous. Moreover, the apartment is pristine! I'd recommend it to anyone. ","10,0",4,1,10.0,0.0
"Matt was a wonderful host. From the moment I booked the Airbnb he was very informative and within the first couple of days of me booking he had already sent the instructions on how to get into the Airbnb followed by some rules. When arrived at the Airbnb it was exactly how it looked in the pictures.  Matt was very helpful when we had a problem turning on the shower i sent him a message and he was at the Airbnb within 5 minutes to help us out! The place was very clean and the beds were very comfortable. The location of the Airbnb was perfect an block away from all food stores and pharmacies and a one minute walk to the metro. Overall,Matt was a great host and I would definitely recommend his place if you are looking to stay a few days in Montreal. Thanks again Matt!","10,0",3,1,10.0,0.0
Good location and nice spot!,"10,0",2,0,10.0,0.0
"The place is great, and Fanny is an extremely gracious host.","10,0",4,1,10.0,0.0
"Loved our stay at your place, luxurious apartment and great location and great communication. Thank you Zaki.","9,0",4,1,10.0,-1.0
très belle grande chambre dans un appartement avec belle ambiance.  Hôte super: bonne communication et compréhensif concernant les contraintes des voyageurs. On recommande et garde l'adresse pour une prochaine fois,"9,0",0,0,7.0,2.0
"Claude’s place is amazing! Treat yourself to amazing views while staying in beautiful old Montreal. Thank you, Claude! Bon Voyage, everyone!","10,0",4,1,10.0,0.0
Cedric and his girlfriend are very nice and friendly! They are pretty good host. I must choose their room again when I arrive to Montréal in next time,"10,0",2,1,10.0,0.0
"Exactly as described, highly recommend.","9,0",4,0,10.0,-1.0
Rene met me there upon arrival. He was very detailed yet brief in his tour of the place. He suggested a couple restaurants in the area and gave me great tips on ski mountains as well. Naomi was extremely helpful throughout the duration of the trip too. She got back to me instantly any time I reached out to her. The place was absolutely perfect for our bachelor party extravaganza in Montreal. It was even nicer than the pictures. I would recommend this place 100 times over!,"10,0",4,1,10.0,0.0
Good place to stay would recommend,"10,0",4,1,10.0,0.0
Great location . Easy vehicle parking. Nice clean well appointed condo.,"10,0",3,1,10.0,0.0
"O apartamento é bem localizado, mas não estava limpo. Tivemos de cancelar a nossa hospedagem.","9,0",0,0,7.0,2.0
"I had arrived a little later than I thought which was a good thing, as the room was not quite ready. However, the room was just as described. It was nice, small and the en-suite bathroom was good enough for 1 person stay. Comfortable! And cool after a day's excursion. Grace was very kind and her son was super helpful - taking all my questions with patience! The area was great within public transport and restaurants. Very nice place and very nice people!","9,0",1,1,10.0,-1.0
"This is a beautiful apartment in a fantastic neighborhood. Jason and Guillaume were very easy to communicate with, and they'd left us some good recommendations for things to do in the area. The apartment itself was so pretty and comfortable that we were tempted just to hang out there, even though the neighborhood has an abundance of great things: the best bagels and the best ice cream in Montreal, etc. Highly recommended!","10,0",4,1,10.0,0.0
"Very uncomfortable/regrettable stay.  This, in fact, is 1/2 of a basement on the 1/2 ground level. While the interior of the spaces matches the photos, what was not shown is the path that you have to walk thru to get to your basement apt entrance. After spending 10-15 min searching for a parking spot every night, you walk into a dark alley (about 10m), with smelly garbage dumped on both side of the alley. At / end of alley, turn left and you walk into 2 cars semi blocking the entrance to the basement units. There are woods and other dumps and garbage in the vicinity. There are spider webs that you will walk right into your face. You will have to squeeze thru 2 vehicles w/o dirtying your clothes before you get to  Ft dr #1. Unlock  dr #1, you walk into an unfinished hallway w/ woods piling in front of dr #2, which open into the basement apt. Imagine if you are dressed in some nice clothes, walking thru the above 3-4 times a day from the apt to yr car.  The place is very uncomfortable for following facts. 1. There is no bedboard, so you cannot sit up & read in bed. 2. The humidity in the unit is extremely high. There is a Dehumidifier put away in a small closet room, but we were not informed until we found it on the 2nd night. When i say extremely high, I meant you cannot even sit in the room w/o sweating. We use the dehumidifier (did not help much), and every 10 hrs or so, we need to empty a tank of water fr the dehumidifier tank before it overflows. 3. The outdoor temp at night after 9 pm during our stays (Aug 29-Sept 4) is < 20c. But the inside temp is at 28c. With the humidity and heat, we did not sleep for > 4 hrs per night. 4. On the 4th night, we found a fan (dusty and semi-working) in the closet room. It did little help after we have to wash off the dust on the fan. 5. We inform Ian that we are very uncomfortable & his reply was to buy a fan valued up to $40 and he will refund.  My message to Ian: Hi Ian. We are three nights into our stay and each night has been very uncomfortable. Even last night at 3am it was 28.5^C. Too warm, humid and hard to breathe. As we aren’t even able to open a window. Outside was under 20C Is there anything you can do to make or stay more tolerable. In addition to the comfortability issues, I also wanted to note a few things that are broken: The dryer handle The coffee machine ---------- Ian reply : Hello, maybe you can buy a fan up to 40$ that I would refund you? I have photos, videos to support my claim. Message me on F/b if anyone want to see.","9,0",1,0,9.0,0.0
"Our stay here was perfect! AMAZING location with a great view of downtown! Loved the condo, very bright and modern (all new appliances). The amenities were awesome too, we loved the rooftop pool it was very chic and a fun spot to hang out! Noussa was also very helpful and easy to reach if we had any questions! Would def recommend :)","9,0",4,1,10.0,-1.0
Adam was very communicative and the place had everything you would need for a comfortable stay!,"10,0",3,1,10.0,0.0
"Superbe appartement très bien situé. Le matin, les bagels Fairmont et le café du coin sont à 2 pas. Le quartier offre des restos merveilleux tout près. La rue est une rue cyclable et les bornes Bixi sont vraiment tout proche. Nous avons adoré!","10,0",2,0,10.0,0.0
"Therese est très accueillante et souriante, arrangeante et reste disponible à la moindre question. Elle n'hésite pas à demander si tout se passe bien pendant le séjour. 
Le logement est très agréable et confortable, propre et correspond totalement à la description, tout est fourni. À côté du métro, supermarché juste à côté. Il n'y a rien à redire. 
Je recommande sans hésiter.","9,0",2,0,10.0,-1.0
Really nice place great location the host always answer our requests for im coming back!,"10,0",3,1,10.0,0.0
"Wendy offers outstanding hospitality at a very reasonable price. The place is very clean.  She is busy with many projects and tasks, yet she makes the time for friendly chat and is a very caring person.
The one issue is that she does not offer air-conditioning.  Although, I had a ""Hi Tech"" fan.  So if you need 
A/C,  that is remiss.  
All the rest is stated as a great experience and I would stay there again and again.","10,0",2,1,10.0,0.0
Parfait,"10,0",0,0,7.0,3.0
"When you first book they provide you with this immaculate PDF showcasing some of the top places to eat around Montréal, as well as one for getting in to the air bnb/parking. Those were beyond helpful, and I’m sure you’ll love those just as much as we did. Definitely a place to spend two nights in if you can afford it; one was just not enough time.","9,0",4,1,10.0,-1.0
"L’appartement est à côté Walmart, Metro pour le shopping et les courses , la station métro est à côté aussi . Julia est toujours disponible et nous répondre rapide , le prix de la location n’est pas cher du tout . Ils sont tous équipés . C’est pratique pour la famille de 5 personnes de rester quelque jours ou plus . Je vous conseille de louer cet appartement .","9,0",3,0,10.0,-1.0
Great value for a very nice condo. The parking spot was a definite plus!,"10,0",2,1,10.0,0.0
"Very clean and trendy place. The loft was very cozy. It was a quick walk to Little Italy, the Jean-Talon metro stop, and Jean Talon Market. Would definitely recommend.","10,0",3,1,10.0,0.0
"We had an awesome stay at maxime's, one of our best airbnb experiences!!! Beautiful apartment, Nice and clean, very good location, central, great park in front of the door and many cafes and restaurants in the neighbourhood and last but not least a great host! We really felt at home because maxime was always there for a chat and to give us recommendations. We would love to stay with him again and would recommend his place to anyone!","10,0",4,1,10.0,0.0
Excellent emplacement et apparement très cozy!,"9,0",4,0,10.0,-1.0
"Kenny's place was perfectly situated, just a 3 min walk from the metro and right across the road from a cute coffee shop (with lots more great restaurants, bars, and shops within walking distance). Kenny was very quick to respond to questions and provided info clearly. We liked that the apartment had Netflix already set up, and the kitchen was well-stocked with utensils if you want to save some money and cook for yourself. Bring your own food staples though, (salt, sugar, butter, etc) as there was no food in the apartment. Parking spot was easy to find, and we enjoyed the general feel of the place (brick walls, a good amount of light, big stack of clean towels). Our only real complaints were first, that the apartment is listed as 1.5 bathrooms, but there was only 1. As there were 4 of us, this wouldn't have been a deal breaker but we would have liked to know what to expect ahead of time. And second, the bed in the back bedroom was not very comfortable (front bedroom was fine, and no one slept in the middle bedroom so I can't speak for its comfort level). All in all, I would recommend Kenny's apartment, I do wish we'd come during the spring or summer months to enjoy the two private balconies and backyard!","9,0",3,1,10.0,-1.0
"Great location, easy access to the subway and restaurants ","9,0",3,1,10.0,-1.0
A very homey experience! It truly feels like your staying at a friend's house in this listing.  We felt right at home and enjoyed our time here.,"10,0",4,1,10.0,0.0
"Nice appartement and very well located ! 
The host is nice and there is free parking included. 
","9,0",3,0,10.0,-1.0
"Carole's place had everything we needed! It was very spacious, clean, and comfortable. The location was amazing, as it was a very short walk to both Saint Catherine St. and downtown while also being tucked away from busy traffic. It's the perfect place to make you feel safe and at home!","10,0",4,1,10.0,0.0
"Great location - lots of problems: inadequate air conditioning, substandard bed, dangerous garage door almost wrecked our car, bath & kitchen dated","9,0",1,0,9.0,0.0
"Very spacious, useful/thoughtful amenities, great location! Definitely recommend!","10,0",4,1,10.0,0.0
